GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008
"G27012300410012","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041001","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230410012",,,"271230410012","Block Group 2, Census Tract 410.01, Ramsey County, Minnesota",1731,1518,7,0,67,0,43,96,0,96,1731,49,30,0,39,48,50,1515,"Block Group 2, Census Tract 410.01, Ramsey County, Minnesota",293,256,13,9,64,9,70,86,9,86,293,34,27,9,49,78,77,286
"G27012300410021","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041002","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230410021",,,"271230410021","Block Group 1, Census Tract 410.02, Ramsey County, Minnesota",1398,920,359,0,34,0,19,66,0,66,1398,27,76,5,0,55,11,1224,"Block Group 1, Census Tract 410.02, Ramsey County, Minnesota",317,221,315,9,36,9,29,65,9,65,317,34,108,9,9,44,17,353
"G27012300410022","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041002","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230410022",,,"271230410022","Block Group 2, Census Tract 410.02, Ramsey County, Minnesota",966,667,0,0,236,0,0,63,63,0,966,0,39,0,0,93,0,834,"Block Group 2, Census Tract 410.02, Ramsey County, Minnesota",278,254,9,9,185,9,9,71,71,9,278,9,35,9,9,104,9,262
"G27012300410023","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041002","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230410023",,,"271230410023","Block Group 3, Census Tract 410.02, Ramsey County, Minnesota",1006,371,271,0,143,0,0,221,42,179,1006,64,84,0,21,108,107,622,"Block Group 3, Census Tract 410.02, Ramsey County, Minnesota",247,131,177,9,103,9,9,225,62,234,247,68,61,9,23,105,177,261
"G27012300411031","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041103","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230411031",,,"271230411031","Block Group 1, Census Tract 411.03, Ramsey County, Minnesota",2559,1331,733,25,324,0,6,140,0,140,2423,14,45,94,113,263,0,1894,"Block Group 1, Census Tract 411.03, Ramsey County, Minnesota",205,350,506,45,149,9,9,84,9,84,205,15,44,90,115,179,9,345
"G27012300411032","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041103","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230411032",,,"271230411032","Block Group 2, Census Tract 411.03, Ramsey County, Minnesota",1100,760,127,6,114,0,28,65,34,31,1100,32,6,57,37,87,34,847,"Block Group 2, Census Tract 411.03, Ramsey County, Minnesota",215,218,87,11,83,9,42,57,35,40,215,45,10,42,50,56,26,171
"G27012300411041","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041104","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230411041",,,"271230411041","Block Group 1, Census Tract 411.04, Ramsey County, Minnesota",1345,932,12,7,94,0,0,300,244,56,1231,13,0,13,17,10,0,1178,"Block Group 1, Census Tract 411.04, Ramsey County, Minnesota",427,211,15,10,61,9,9,344,335,52,428,18,9,27,24,16,9,428
"G27012300411042","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041104","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230411042",,,"271230411042","Block Group 2, Census Tract 411.04, Ramsey County, Minnesota",1119,786,185,7,42,0,83,16,0,16,1119,1,0,0,13,0,2,1103,"Block Group 2, Census Tract 411.04, Ramsey County, Minnesota",338,311,236,12,55,9,100,19,9,19,338,3,9,9,19,9,8,339
"G27012300411043","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041104","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230411043",,,"271230411043","Block Group 3, Census Tract 411.04, Ramsey County, Minnesota",774,716,0,0,0,0,6,52,17,35,774,0,14,0,0,25,21,714,"Block Group 3, Census Tract 411.04, Ramsey County, Minnesota",262,267,9,9,9,9,11,52,22,52,262,9,23,9,9,41,24,249
"G27012300411051","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041105","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230411051",,,"271230411051","Block Group 1, Census Tract 411.05, Ramsey County, Minnesota",619,502,0,0,0,0,0,117,104,13,619,0,0,0,0,0,0,619,"Block Group 1, Census Tract 411.05, Ramsey County, Minnesota",230,244,9,9,9,9,9,156,156,20,230,9,9,9,9,9,9,230
